,metrics.tp,metrics.precision,metrics.tn,metrics.fp,metrics.fn,metrics.specificity,metrics.recall,metrics.fscore,params.model,params.decision,hight_threshold,s_t,T,th
35,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 220}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,30,220,0.01
36,39.0,0.8863636363636364,295.0,5.0,261.0,0.9833333333333333,0.13,0.22674418604651164,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 200}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,40,200,0.03
37,8.0,1.0,300.0,0.0,292.0,1.0,0.02666666666666667,0.05194805194805195,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 210}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,50,210,0.01
38,71.0,0.8765432098765432,290.0,10.0,229.0,0.9666666666666667,0.23666666666666666,0.3727034120734908,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 190}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,40,190,0.03
39,10.0,1.0,300.0,0.0,290.0,1.0,0.03333333333333333,0.06451612903225806,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 210}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,40,210,0.02
40,21.0,0.9130434782608695,298.0,2.0,279.0,0.9933333333333333,0.07,0.130030959752322,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 200}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,40,200,0.02
41,6.0,1.0,300.0,0.0,294.0,1.0,0.02,0.0392156862745098,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 210}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,30,210,0.03
42,1.0,1.0,300.0,0.0,299.0,1.0,0.0033333333333333335,0.006644518272425249,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 210}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,40,210,0.01
43,192.0,0.7164179104477612,224.0,76.0,108.0,0.7466666666666666,0.64,0.676056338028169,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 160}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,160,0.03
44,16.0,0.8888888888888888,298.0,2.0,284.0,0.9933333333333333,0.05333333333333334,0.10062893081761007,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 200}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,50,200,0.01
